k,bnb-l1_solve_time_mean,bnb-l1_solve_time_std,bnb-l1_solve_time_max,bnb-l1_solve_time_min,bnb-l1_node_count_mean,bnb-l1_node_count_std,bnb-l1_node_count_max,bnb-l1_node_count_min,bnb-l0l1_solve_time_mean,bnb-l0l1_solve_time_std,bnb-l0l1_solve_time_max,bnb-l0l1_solve_time_min,bnb-l0l1_node_count_mean,bnb-l0l1_node_count_std,bnb-l0l1_node_count_max,bnb-l0l1_node_count_min
5,4.859455528259278,1.1042332704857385,7.548234939575195,0.31281018257141113,1961.44,279.73144263739823,2001,23,0.014290590286254883,0.0036894056688446227,0.027554035186767578,0.010004997253417969,10.44,0.9071147352221455,11,9
6,4.970831804275512,1.488289649961454,8.630510091781616,0.33919501304626465,1882.56,473.55852858965613,2001,27,0.018879671096801758,0.005109606471741597,0.03052496910095215,0.011664867401123047,12.4,1.0101525445522106,13,9
7,5.634631667137146,1.4224015696402907,8.85485291481018,0.44599318504333496,1922.36,389.1672826401919,2001,33,0.024453277587890624,0.00723758902064963,0.044036149978637695,0.015371084213256836,14.0,1.4142135623730951,15,9
8,6.551989178657532,1.214017278045311,9.982930898666382,4.911952018737793,2001.0,0.0,2001,2001,0.03292745590209961,0.008952350171834428,0.06258392333984375,0.020440101623535156,16.84,1.9728773144722365,25,13
9,7.422323956489563,1.6919146127009115,13.226567029953003,5.452188968658447,2001.0,0.0,2001,2001,0.048411831855773926,0.017126925218656264,0.12108397483825684,0.027554035186767578,22.8,4.025429372458678,37,17
10,8.519956880686234,2.0858214902089705,14.821230173110962,6.425594091415405,2001.0,0.0,2001,2001,0.07873349773640535,0.024236080447885635,0.16682100296020508,0.03589892387390137,35.53061224489796,9.56360732328621,63,21
11,9.697585310935974,2.2754098843769888,16.293045043945312,6.7795569896698,2001.0,0.0,2001,2001,0.1508156394958496,0.06256291626418285,0.34719204902648926,0.057940006256103516,67.72,22.554279199391008,141,31
12,10.590277083066045,2.538156306289572,16.79106092453003,1.9823148250579834,1961.938775510204,273.4285714285716,2001,87,0.2593331677573068,0.13085575855705028,0.874687910079956,0.10425710678100586,100.14285714285714,33.436506994600975,239,51
13,13.122510390281677,2.966184392524325,22.509392023086548,9.03346300125122,2001.0,0.0,2001,2001,0.5014198780059814,0.20566114844258443,1.1882519721984863,0.19890594482421875,151.64,34.832403398712124,245,91
14,16.28532066822052,4.435526104069633,27.9597909450531,6.07063102722168,1966.28,245.5074744279692,2001,265,0.9404048776626587,0.45253920390286034,2.205976963043213,0.3838520050048828,212.36,52.98045846906043,339,135
15,19.560733056068422,4.762046505148199,30.05331802368164,12.35523509979248,2001.0,0.0,2001,2001,1.528221321105957,0.6624532321973693,3.455502986907959,0.5710279941558838,266.48,54.917838446099076,403,143
16,26.73897502422333,7.333960976088612,50.10623908042908,16.461057901382446,1974.32,193.62223265831796,2035,633,3.13342324256897,1.5948046069360189,9.629270076751709,0.988447904586792,367.44,83.2603882101084,669,211
17,33.952560229301454,11.205382702651622,74.72658896446228,18.78197693824768,2009.2,45.36878365806435,2313,2001,5.128833365440369,3.069691860523553,18.818382024765015,1.700256109237671,456.64,113.80232772627443,1019,307
18,67.52184081554412,152.23353291689173,1115.612701177597,22.171605110168457,2121.08,1030.8975253414387,9071,591,14.687426738739013,40.84159064860197,295.65938210487366,2.5720739364624023,707.08,998.9553694755746,7575,371
19,113.53813092252041,193.5225937537016,1093.1517300605774,25.00853705406189,2411.723404255319,1174.7187952521203,7869,627,25.927498573952533,47.261356384615254,272.5776650905609,3.7817959785461426,1039.212765957447,1163.088484730095,6447,381
20,186.04992797374726,200.9157639412166,1058.634407043457,42.166680097579956,3074.28,1569.0398863311154,9713,2001,46.763277225494384,55.891743441730924,303.9902319908142,8.078565120697021,1719.0,1555.6250531932328,8213,525
